,frequency,frequency_short,id,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short,name
10,"Quarterly, End of Period",Q,DRISCFLM,2018-05-09 15:11:02-05,"For further information, please refer to the Board of Governors of the Federal Reserve System's Senior Loan Officer Opinion Survey on Bank Lending Practices release, online at http://www.federalreserve.gov/boarddocs/SnLoanSurvey/.",2018-04-01,1990-04-01,27,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Net Percentage of Domestic Banks Increasing Spreads of Loan Rates over Banks' Cost of Funds to Large and Middle-Market Firms,Percent,%,DRISCFLM
11,Monthly,M,INDPRO,2018-05-16 09:31:02-05,"The Industrial Production Index (INDPRO) is an economic indicator that measures real output for all facilities located in the United States manufacturing, mining, and electric, and gas utilities (excluding those in U.S. territories).(1)
Since 1997, the Industrial Production Index has been determined from 312 individual series based on the 2007 North American Industrial Classification System (NAICS) codes. These individual series are classified in two ways (1) market groups and (2) industry groups. (1) The Board of Governors defines markets groups as products (aggregates of final products) and materials (inputs used in the manufacture of products). Consumer goods and business equipment can be examples of market groups. “Industry groups are defined as three digit NAICS industries and aggregates of these industries such as durable and nondurable manufacturing, mining, and utilities.”(1)(2)
The index is compiled on a monthly basis to bring attention to short- term changes in industrial production,. It measures movements in production output and highlights structural developments in the economy. (1) Growth in the production index from month to month is an indicator of growth in the industry.
For more information regarding the Industrial Production and Capacity Utilization index, see the explanatory notes issued by the Board of Governors ( http://www.federalreserve.gov/releases/g17/IpNotes.htm).

References
(1) Board of Governors of the Federal Reserve System. “Industrial Production and Capacity Utilization.” Statistical release G.17; May 2013.
(1) For recent reports on market and industry groups, please click on the following link; http://www.federalreserve.gov/releases/g17/Current/default.htm.",2018-04-01,1919-01-01,89,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Industrial Production Index,Index 2012=100,Index 2012=100,INDPRO
12,Monthly,M,TCU,2018-05-16 09:31:02-05,"Capacity Utilization: Total Industry (TCU) is the percentage of resources used by corporations and factories to produce goods in manufacturing, mining, and electric and gas utilities for all facilities located in the United States (excluding those in U.S. territories).(1) We can also think of capacity utilization as how much capacity is being used from the total available capacity to produce demanded finished products.

Capacity utilization indexes are constructed for 71 industries in manufacturing, 16 in mining, and 2 in utilities. (1) Physical data on capacity utilization are primarily compiled from trade sources and government sources, such as the U.S. Geological Survey and the U.S. Energy Information Administration.(1) When physical data are unavailable, capacity utilization data are compiled from the U.S. Census Bureau’s Quarterly Survey of Plant Capacity Utilization, which provides data for almost 70 percent of total industry capacity.(1) Additionally, the capacity index is developed on a monthly basis, designed to be consistent with the production index.(1)
According to the Board of Governors of the Federal Reserve System, the capacity index tries to conceptualize the idea of sustainable maximum output, which is defined as the highest level of output a plant can sustain within the confines of its resources. The Board of Governors defines the seasonally adjusted capacity utilization rate as the output index divided by the capacity index. The capacity utilization rate can also implicitly describe how efficiently the factors of production (inputs in the production process) are being used. (1) It sheds light on how much more firms can produce without additional costs. Additionally, this rate gives manufacturers some idea as to how much consumer demand they will be able to meet in the future.
The Federal Reserve strives to construct a capacity index consistent with time by using different relevant data sources.(1) Developing an index that is reasonable given the time period is the primary aim for this index, but there are still some difficulties. Extensive technological and structural changes have and will continue to occur, affecting the degree of tightness the Federal Reserve index of capacity utilization will represent.(2) In addition, each series of capacity utilization is flawed by commission; therefore, they should be used with caution.(2)
References
(1) Board of Governors of the Federal Reserve System. “Industrial Production and Capacity Utilization.” Statistical release G.17;. May 15, 2013.
(2) Bauer, Paul W. and Deily, Mary E. “A User’s Guide to Capacity- Utilization Measures.” Economic Commentary. Federal Reserve Bank of Cleveland, July 1, 1988; https://www.clevelandfed.org/newsroom-and-events/publications/economic-commentary/economic-commentary-archives/1988-economic-commentaries/ec-19880701-a-users-guide-to-capacity-utilization-measures.aspx.",2018-04-01,1967-01-01,78,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Capacity Utilization: Total Industry,Percent of Capacity,% of Capacity,TCU
13,Monthly,M,ACOGNO,2018-05-03 09:21:02-05,This series is a topical regrouping of the separate industry categories.,2018-03-01,1992-02-01,39,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Value of Manufacturers' New Orders for Consumer Goods Industries,Million of Dollars,Mil. of $,ACOGNO
14,Monthly,M,NEWORDER,2018-05-03 09:21:01-05,"Effective May 21, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",2018-03-01,1992-02-01,70,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,Millions of Dollars,Mil. of $,NEWORDER
15,Annual,A,FYFSGDA188S,2018-03-28 11:01:02-05,"Federal Surplus or Deficit [-] as Percent of Gross Domestic Product (FYFSGDA188S) was first constructed by the Federal Reserve Bank of St. Louis in October 2012. It is calculated using Federal Surplus or Deficit [-] (FYFSD) and Gross Domestic Product (GDPA):
FYFSGDA188S = ((FYFSD/1000)/GDPA)*100
FYFSD/1000 transforms FYFSD from millions of dollars to billions of dollars.",2017-01-01,1929-01-01,79,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product,Percent of GDP,% of GDP,FYFSGDA188S
16,Monthly,M,PSAVERT,2018-04-30 07:51:02-05,"BEA Account Code: A072RC
Personal saving as a percentage of disposable personal income (DPI), frequently referred to as “the personal saving rate,” is calculated as the ratio of personal saving to DPI.
Personal saving is equal to personal income less personal outlays and personal taxes; it may generally be viewed as the portion of personal income that is used either to provide funds to capital markets or to invest in real assets such as residences.(https://www.bea.gov/national/pdf/all-chapters.pdf)
A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)",2018-03-01,1959-01-01,86,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Personal Saving Rate,Percent,%,PSAVERT
17,"Monthly, End of Period",M,TOTALSL,2018-05-07 15:51:03-05,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/.",2018-03-01,1943-01-01,76,2018-05-22,2018-05-22,Seasonally Adjusted,SA,"Total Consumer Credit Owned and Securitized, Outstanding",Billions of Dollars,Bil. of $,TOTALSL
18,"Weekly, Ending Thursday",W,MORTGAGE30US,2018-05-17 11:31:01-05,"Data is provided ""as is,"" by Freddie Mac® with no warranties of any kind, express or implied, including, but not limited to, warranties of accuracy or implied warranties of merchantability or fitness for a particular purpose. Use of the data is at the user's sole risk. In no event will Freddie Mac be liable for any damages arising out of or related to the data, including, but not limited to direct, indirect, incidental, special, consequential, or punitive damages, whether under a contract, tort, or any other theory of liability, even if Freddie Mac is aware of the possibility of such damages.

Copyright, 2016, Freddie Mac. Reprinted with permission.",2018-05-17,1971-04-02,87,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,30-Year Fixed Rate Mortgage Average in the United States,Percent,%,MORTGAGE30US
19,Daily,D,TEDRATE,2018-05-22 15:51:01-05,Series is calculated as the spread between 3-Month LIBOR based on US dollars (https://fred.stlouisfed.org/series/USD3MTD156N) and 3-Month Treasury Bill (https://fred.stlouisfed.org/series/DTB3). The series is lagged by one week because the LIBOR series is lagged by one week due to an agreement with the source.,2018-05-15,1986-01-02,89,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,TED Spread,Percent,%,TEDRATE
20,"Weekly, Ending Saturday",W,IC4WSA,2018-05-17 08:11:15-05,,2018-05-12,1967-01-28,80,2018-05-22,2018-05-22,Seasonally Adjusted,SA,4-Week Moving Average of Initial Claims,Number,Number,IC4WSA
21,"Weekly, Ending Saturday",W,ICSA,2018-05-17 08:11:14-05,,2018-05-12,1967-01-07,77,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Initial Claims,Number,Number,ICSA
22,Monthly,M,PAYEMS,2018-05-04 08:12:58-05,"All Employees: Total Nonfarm, commonly known as Total Nonfarm Payroll, is a measure of the number of U.S. workers in the economy that excludes proprietors, private household employees, unpaid volunteers, farm employees, and the unincorporated self-employed. This measure accounts for approximately 80 percent of the workers who contribute to Gross Domestic Product (GDP).

This measure provides useful insights into the current economic situation because it can represent the number of jobs added or lost in an economy. Increases in employment might indicate that businesses are hiring which might also suggest that businesses are growing. Additionally, those who are newly employed have increased their personal incomes, which means (all else constant) their disposable incomes have also increased, thus fostering further economic expansion.

Generally, the U.S. labor force and levels of employment and unemployment are subject to fluctuations due to seasonal changes in weather, major holidays, and the opening and closing of schools. The Bureau of Labor Statistics (BLS) adjusts the data to offset the seasonal effects to show non-seasonal changes: for example, women's participation in the labor force; or a general decline in the number of employees, a possible indication of a downturn in the economy. To closely examine seasonal and non-seasonal changes, the BLS releases two monthly statistical measures: the seasonally adjusted All Employees: Total Nonfarm (PAYEMS) and All Employees: Total Nonfarm (PAYNSA), which is not seasonally adjusted.

The series comes from the 'Current Employment Statistics (Establishment Survey).'

The source code is: CES0000000001",2018-04-01,1939-01-01,88,2018-05-22,2018-05-22,Seasonally Adjusted,SA,All Employees: Total Nonfarm Payrolls,Thousands of Persons,Thous. of Persons,PAYEMS
23,Monthly,M,UNRATE,2018-05-04 08:11:02-05,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.

This rate is also defined as the U-3 measure of labor underutilization.

The series comes from the 'Current Population Survey (Household Survey)'

The source code is: LNS14000000",2018-04-01,1948-01-01,97,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Civilian Unemployment Rate,Percent,%,UNRATE
24,Monthly,M,AWHNONAG,2018-05-04 08:14:54-05,"Average weekly hours relate to the average hours per worker for which pay was received and is different from standard or scheduled hours. Factors such as unpaid absenteeism, labor turnover, part-time work, and stoppages cause average weekly hours to be lower than scheduled hours of work for an establishment. Group averages further reflect changes in the workweek of component industries. Average weekly hours are the total weekly hours divided by the employees paid for those hours.

Production and related employees include working supervisors and all nonsupervisory employees (including group leaders and trainees) engaged in fabricating, processing, assembling, inspecting, receiving, storing, handling, packing, warehousing, shipping, trucking, hauling, maintenance, repair, janitorial, guard services, product development, auxiliary production for plant's own use (for example, power plant), recordkeeping, and other services closely associated with the above production operations.

Nonsupervisory employees include those individuals in private, service-providing industries who are not above the working-supervisor level. This group includes individuals such as office and clerical workers, repairers, salespersons, operators, drivers, physicians, lawyers, accountants, nurses, social workers, research aides, teachers, drafters, photographers, beauticians, musicians, restaurant workers, custodial workers, attendants, line installers and repairers, laborers, janitors, guards, and other employees at similar occupational levels whose services are closely associated with those of the employees listed.

The series comes from the 'Current Employment Statistics (Establishment Survey).'

The source code is: CES0500000007",2018-04-01,1964-01-01,51,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Average Weekly Hours of Production and Nonsupervisory Employees: Total private,Hours,Hours,AWHNONAG
25,Quarterly,Q,GDP,2018-04-27 07:51:02-05,"BEA Account Code: A191RC

Gross domestic product (GDP), the featured measure of U.S. output, is the market value of the goods and services produced by labor and property located in the United States.For more information, see the Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)""",2018-01-01,1947-01-01,95,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Gross Domestic Product,Billions of Dollars,Bil. of $,GDP
26,Quarterly,Q,GDPC1,2018-04-27 07:51:02-05,"BEA Account Code: A191RX

Real gross domestic product is the inflation adjusted value of the goods and services produced by labor and property located in the United States.For more information see the Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)",2018-01-01,1947-01-01,97,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Real Gross Domestic Product,Billions of Chained 2009 Dollars,Bil. of Chn. 2009 $,GDPC1
27,Quarterly,Q,CP,2018-03-28 07:51:03-05,"BEA Account Code: A055RC

",2017-10-01,1947-01-01,78,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Corporate Profits After Tax (without IVA and CCAdj),Billions of Dollars,Bil. of $,CP
28,Monthly,M,USSLIND,2018-05-03 13:31:01-05,"The leading index for each state predicts the six-month growth rate of the state's coincident index. In addition to the coincident index, the models include other variables that lead the economy: state-level housing permits (1 to 4 units), state initial unemployment insurance claims, delivery times from the Institute for Supply Management (ISM) manufacturing survey, and the interest rate spread between the 10-year Treasury bond and the 3-month Treasury bill.",2018-03-01,1982-01-01,85,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Leading Index for the United States,Percent,%,USSLIND
29,Quarterly,Q,CBIC1,2018-04-27 07:52:57-05,"BEA Account Code: A014RX

A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)",2018-01-01,1947-01-01,22,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Change in Real Private Inventories,Billions of Chained 2009 Dollars,Bil. of Chn. 2009 $,CBIC1
30,Monthly,M,CPILFESL,2018-05-10 09:32:58-05,"The “Consumer Price Index for All Urban Consumers: All Items Less Food & Energy” is an aggregate of prices paid by urban consumers for a typical basket of goods, excluding food and energy. This measurement, known as “Core CPI,” is widely used by economists because food and energy have very volatile prices. The Bureau of Labor Statistics defines and measures the official CPI, and more information can be found here: http://stats.bls.gov:80/cpi/cpifaq.htm or here: http://www.bls.gov/opub/hom/pdf/homch17.pdf.",2018-04-01,1957-01-01,82,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy,Index 1982-1984=100,Index 1982-1984=100,CPILFESL
31,Monthly,M,PPIACO,2018-05-09 08:41:02-05,,2018-04-01,1913-01-01,79,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,Producer Price Index for All Commodities,Index 1982=100,Index 1982=100,PPIACO
32,Monthly,M,PCEPILFE,2018-04-30 07:51:02-05,"BEA Account Code: DPCCRG
A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)",2018-03-01,1959-01-01,82,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index),Index 2009=100,Index 2009=100,PCEPILFE
33,Monthly,M,CSUSHPINSA,2018-04-24 08:31:01-05,"For more information regarding the index, please visit, http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller. There is more information about home price sales pairs in the Methodology section. Copyright, 2016, Standard & Poor's Financial Services LLC. Reprinted with permission.",2018-02-01,1987-01-01,88,2018-05-22,2018-05-22,Not Seasonally Adjusted,NSA,S&P/Case-Shiller U.S. National Home Price Index,Index Jan 2000=100,Index Jan 2000 = 100,CSUSHPINSA
34,Monthly,M,SPCS20RSA,2018-04-24 08:31:01-05,"For more information regarding the index, please visit, http://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller.

Copyright © 2016, S&P Dow Jones Indices LLC. All rights reserved. Reproduction of S&P Case-Shiller 20-City Home Price Index in any form is prohibited except with the prior written permission of S&P Dow Jones Indices LLC ""S&P"". S&P does not guarantee the accuracy, adequacy, completeness or availability of any information and is not responsible for any errors or omissions, regardless of the cause or for the results obtained from the use of such information. S&P DISCLAIMS ANY AND ALL EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO, ANY WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR USE. In no event shall S&P be liable for any direct, indirect, special or consequential damages, costs, expenses, legal fees, or losses (including lost income or lost profit and opportunity costs) in connection with subscriber's or others' user of S&P Case-Shiller 20-City Home Price Index.

Permission to reproduce this series can be requested from index_services@spdji.com. More contact details are available from http://us.spindices.com/contact-us/, including phone numbers for all of its regional offices.",2018-02-01,2000-01-01,82,2018-05-22,2018-05-22,Seasonally Adjusted,SA,S&P/Case-Shiller 20-City Composite Home Price Index,Index Jan 2000=100,Index Jan 2000 = 100,SPCS20RSA
35,Monthly,M,PERMIT,2018-05-16 07:31:02-05,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",2018-04-01,1960-01-01,77,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,New Private Housing Units Authorized by Building Permits,Thousands of Units,Thous. of Units,PERMIT
36,Monthly,M,HSN1F,2018-04-24 09:01:02-05,,2018-03-01,1963-01-01,71,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,New One Family Houses Sold: United States,Thousands,Thous.,HSN1F
37,Monthly,M,ALTSALES,2018-05-09 15:21:01-05,,2018-04-01,1976-01-01,76,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Light Weight Vehicle Sales: Autos and Light Trucks,Millions of Units,Mil. of Units,ALTSALES
38,Monthly,M,RRSFS,2018-05-15 08:31:01-05,This series is constructed as Advance Retail and Food Services Sales (https://fred.stlouisfed.org/series/RSAFS) deflated using the Consumer Price Index for All Urban Consumers (1982-84=100) (https://fred.stlouisfed.org/series/CPIAUCSL).,2018-04-01,1992-01-01,72,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Advance Real Retail and Food Services Sales,Millions of Dollars,Mil. of $,RRSFS
39,Monthly,M,TOTALSA,2018-05-09 15:21:01-05,,2018-04-01,1976-01-01,79,2018-05-22,2018-05-22,Seasonally Adjusted Annual Rate,SAAR,Total Vehicle Sales,Millions of Units,Mil. of Units,TOTALSA
40,Monthly,M,RSXFS,2018-05-15 07:41:02-05,"E-commerce sales are included in the total monthly sales estimates. 

The value for the most recent month is an advance estimate that is based on data from a subsample of firms from the larger Monthly Retail Trade Survey. The advance estimate will be superseded in following months by revised estimates derived from the larger Monthly Retail Trade Survey. The associated series from the Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MRTSSM44000USS

 Information about the Advance Monthly Retail Sales Survey can be found on the Census website at https://www.census.gov/retail/marts/about_the_surveys.html",2018-04-01,1992-01-01,75,2018-05-22,2018-05-22,Seasonally Adjusted,SA,Advance Retail Sales: Retail (Excluding Food Services),Millions of Dollars,Mil. of $,RSXFS
