Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P)
OLN,OLIN CORP,,0.568918783,13497229.8137952,426048.92089,31.68,USD
OMN,OMNOVA SOLUTIONS INC,,0.049409435,1172206.880232,114922.24316,10.2,USD
OI,OWENS-ILLINOIS INC,,0.356214775,8450964.927108,396015.2262,21.34,USD
PKG,PACKAGING CORP OF AMERICA,,1.208878853,28679868.1692699,241840.52761,118.59,USD
PAH,PLATFORM SPECIALTY PRODUCTS,,0.258474,6132128.336068,587931.7676,10.43,USD
POL,POLYONE CORPORATION,,0.363347976,8620195.5211046,209329.66297,41.18,USD
PPG,PPG INDUSTRIES INC,,3.077761297,73017894.2415335,657167.61985,111.11,USD
PX,PRAXAIR INC,,4.570057076,108421645.496566,732974.88843,147.92,USD
KWR,QUAKER CHEMICAL CORP,,0.220466496,5230424.89386,34185.78362,153.0,USD
RYAM,RAYONIER ADVANCED MATERIALS,,0.112582895,2670956.3153172,132094.77326,20.22,USD
RS,RELIANCE STEEL & ALUMINUM,,0.736928563,17483153.0931254,186745.92067,93.62,USD
RFP,RESOLUTE FOREST PRODUCTS,,0.049312441,1169905.752843,149032.57998,7.85,USD
RGLD,ROYAL GOLD INC,,0.572872441,13591027.7912238,167335.97379,81.22,USD
RPM,RPM INTERNATIONAL INC,,0.720093018,17083740.6821064,341948.37234,49.96,USD
RYI,RYERSON HOLDING CORP,,0.018526656,439532.940704,42262.78276,10.4,USD
SCHN,SCHNITZER STEEL INDS INC-A,,0.100673138,2388405.029364,68830.11612,34.7,USD
SHLM,SCHULMAN (A.) INC,,0.137528276,3262769.3179035,75265.72821,43.35,USD
SWM,SCHWEITZER-MAUDUIT INTL INC,,0.128265413,3043013.8878375,78691.85125,38.67,USD
SMG,SCOTTS MIRACLE-GRO CO,,0.42660291,10120877.869612,112329.38812,90.1,USD
SEE,SEALED AIR CORP,,0.858849734,20375653.9257072,486989.81658,41.84,USD
SXT,SENSIENT TECHNOLOGIES CORP,,0.337081906,7997050.015353,112476.09023,71.1,USD
SHW,SHERWIN-WILLIAMS CO/THE,,3.600104982,85410160.02357,215404.807,396.51,USD
SLGN,SILGAN HOLDINGS INC,,0.233399291,5537247.0881364,197688.22164,28.01,USD
SON,SONOCO PRODUCTS CO,,0.509080274,12077599.9462504,254586.84541,47.44,USD
STLD,STEEL DYNAMICS INC,,1.246204312,29565390.536552,614665.08392,48.1,USD
SCL,STEPAN CO,,0.177210852,4204212.7533607,52013.02429,80.83,USD
SUM,SUMMIT MATERIALS INC -CL A,,0.376000707,8920373.3756414,279372.79598,31.93,USD
SXC,SUNCOKE ENERGY INC,,0.067479852,1600915.8038367,148370.32473,10.79,USD
TMST,TIMKENSTEEL CORP,,0.068585126,1627137.7165415,96566.03659,16.85,USD
TG,TREDEGAR CORP,,0.043649489,1035555.8747625,63336.75075,16.35,USD
TSE,TRINSEO SA,,0.375272328,8903093.032131,112200.29026,79.35,USD
TROX,TRONOX LTD-CL A,,0.193554564,4591956.7464196,225538.15061,20.36,USD
USLM,UNITED STATES LIME & MINERAL,,0.016895835,400842.7654374,5640.90579,71.06,USD
X,UNITED STATES STEEL CORP,,0.86924947,20622380.9328489,448215.19089,46.01,USD
USCR,US CONCRETE INC,,0.114325851,2712306.8204775,38886.11929,69.75,USD
VVV,VALVOLINE INC,,0.495869235,11764176.5842701,518931.47703,22.67,USD
VMC,VULCAN MATERIALS CO,,1.67277743,39685561.5781822,338990.01946,117.07,USD
HCC,WARRIOR MET COAL INC,,0.11505504,2729606.3612584,88970.22038,30.68,USD
WLK,WESTLAKE CHEMICAL CORP,,0.446917009,10602816.7241826,99110.27037,106.98,USD
WRK,WESTROCK CO,,1.782333279,42284703.178097,650834.2801,64.97,USD
WOR,WORTHINGTON INDUSTRIES,,0.228036028,5410007.140644,121029.24252,44.7,USD
GRA,WR GRACE & CO,,0.486178809,11534277.5164845,174841.25385,65.97,USD
