"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ALXN","Alexion Pharmaceuticals Inc","0.82%","112.10","-2.13","-1.86%","1.81 M","96.18 - 149.34",
"REGN","Regeneron Pharmaceuticals Inc","0.82%","326.34","-1.36","-0.41%","307.72 K","313.53 - 543.55",
"ZBH","Zimmer Biomet Holdings Inc","0.73%","109.16","-2.22","-1.99%","1.65 M","108.03 - 133.49",
"A","Agilent Technologies Inc","0.70%","67.10","-0.37","-0.55%","1.11 M","52.26 - 75.00",
"MYL","Mylan NV","0.66%","39.33","-0.54","-1.35%","1.65 M","29.39 - 47.82",
"CAH","Cardinal Health Inc","0.65%","62.30","-1.56","-2.44%","1.09 M","54.66 - 82.80",
"ALGN","Align Technology Inc","0.61%","254.62","-5.51","-2.12%","624.70 K","111.35 - 287.32",
"CERN","Cerner Corp","0.59%","56.97","-0.50","-0.87%","1.21 M","56.17 - 73.86",
"CNC","Centene Corp","0.58%","102.02","-1.82","-1.75%","1.37 M","65.03 - 112.42",
"LH","Lab Corp of America Hldgs","0.55%","163.78","-1.92","-1.16%","442.68 K","134.19 - 181.72",
"IDXX","IDEXX Laboratories Inc","0.55%","192.82","-1.06","-0.55%","374.10 K","146.09 - 207.14",
"NKTR","Nektar Therapeutics","0.54%","103.27","-0.74","-0.71%","1.04 M","17.33 - 111.36",
"WAT","Waters Corp","0.52%","201.83","-2.78","-1.36%","188.42 K","153.04 - 220.20",
"MTD","Mettler-Toledo Intl","0.48%","575.55","-9.84","-1.68%","166.25 K","472.44 - 697.26",
"INCY","Incyte Corp","0.48%","83.96","-1.29","-1.51%","529.67 K","80.85 - 144.32",
"IQV","IQVIA Holdings Inc","0.48%","100.57","-1.31","-1.29%","424.13 K","77.16 - 110.67",
"ABC","AmerisourceBergen Corp","0.45%","85.08","+0.08","+0.09%","789.23 K","71.90 - 106.27",
"DGX","Quest Diagnostics","0.45%","100.47","-1.83","-1.79%","428.38 K","90.10 - 112.97",
"RMD","ResMed Inc","0.45%","96.65","+0.17","+0.18%","359.37 K","67.04 - 104.78",
"XRAY","Dentsply Sirona Inc.","0.39%","51.32","-1.34","-2.54%","1.16 M","52.54 - 68.98",
"VAR","Varian Medical Systems Inc","0.36%","121.10","+0.01","+0.01%","311.73 K","87.49 - 130.29",
"COO","Cooper Companies Inc","0.36%","220.79","-3.99","-1.78%","306.05 K","194.29 - 260.26",
"PRGO","Perrigo Company plc","0.35%","81.19","-0.36","-0.44%","427.34 K","63.68 - 95.93",
"UHS","Universal Health Services B","0.35%","122.21","-0.82","-0.67%","402.73 K","95.26 - 128.49",
"HOLX","Hologic Inc","0.34%","37.72","-0.43","-1.13%","1.05 M","35.33 - 46.80",
"HSIC","Schein Henry Inc","0.33%","65.22","-0.71","-1.08%","887.40 K","62.56 - 93.50",
"DVA","DaVita Inc","0.31%","65.36","-0.44","-0.66%","618.78 K","52.51 - 80.71",
"PKI","PerkinElmer Inc","0.27%","74.71","-0.54","-0.71%","695.17 K","56.21 - 84.49",
"EVHC","Envision Healthcare Corp","0.15%","38.10","+0.57","+1.52%","1.64 M","23.77 - 66.40",
