date_,USSLIND
2010-05-01,1.34
2010-06-01,1.35
2010-07-01,1.33
2010-08-01,0.82
2010-09-01,0.47
2010-10-01,0.75
2010-11-01,1.33
2010-12-01,1.47
2011-01-01,1.4
2011-02-01,1.48
2011-03-01,1.62
2011-04-01,1.49
2011-05-01,1.25
2011-06-01,1.17
2011-07-01,1.27
2011-08-01,1.56
2011-09-01,1.31
2011-10-01,1.49
2011-11-01,1.74
2011-12-01,1.68
2012-01-01,1.9
2012-02-01,1.84
2012-03-01,1.84
2012-04-01,1.7
2012-05-01,1.62
2012-06-01,1.4
2012-07-01,1.38
2012-08-01,1.35
2012-09-01,1.56
2012-10-01,1.79
2012-11-01,1.34
2012-12-01,1.52
2013-01-01,1.61
2013-02-01,1.94
2013-03-01,1.72
2013-04-01,1.6
2013-05-01,1.57
2013-06-01,1.48
2013-07-01,1.48
2013-08-01,1.65
2013-09-01,1.76
2013-10-01,1.41
2013-11-01,1.55
2013-12-01,1.48
2014-01-01,1.81
2014-02-01,1.4
2014-03-01,1.48
2014-04-01,1.72
2014-05-01,1.84
2014-06-01,1.96
2014-07-01,1.87
2014-08-01,1.65
2014-09-01,1.89
2014-10-01,2.01
2014-11-01,1.75
2014-12-01,1.99
2015-01-01,1.64
2015-02-01,1.64
2015-03-01,1.6
2015-04-01,1.67
2015-05-01,1.91
2015-06-01,1.7
2015-07-01,1.78
2015-08-01,1.74
2015-09-01,1.72
2015-10-01,1.57
2015-11-01,1.58
2015-12-01,1.6
2016-01-01,1.41
2016-02-01,1.71
2016-03-01,1.57
2016-04-01,1.52
2016-05-01,1.4
2016-06-01,1.39
2016-07-01,1.38
2016-08-01,1.55
2016-09-01,1.38
2016-10-01,1.3
2016-11-01,1.75
2016-12-01,1.5
2017-01-01,1.58
2017-02-01,1.34
2017-03-01,1.51
2017-04-01,1.49
2017-05-01,1.4
2017-06-01,1.44
2017-07-01,1.25
2017-08-01,1.34
2017-09-01,1.11
2017-10-01,1.56
2017-11-01,1.42
2017-12-01,1.41
2018-01-01,1.53
2018-02-01,1.52
2018-03-01,1.51
2018-04-01,1.58
