date_,TOTALSL
2001-01-01,1729.85
2001-02-01,1748.7
2001-03-01,1760.54
2001-04-01,1773.1
2001-05-01,1781.18
2001-06-01,1792.37
2001-07-01,1797.35
2001-08-01,1806.36
2001-09-01,1814.25
2001-10-01,1829.84
2001-11-01,1857.84
2001-12-01,1867.85
2002-01-01,1867.42
2002-02-01,1881.91
2002-03-01,1894.69
2002-04-01,1903.96
2002-05-01,1914.61
2002-06-01,1927.18
2002-07-01,1939.21
2002-08-01,1947.5
2002-09-01,1950.65
2002-10-01,1957.15
2002-11-01,1965.18
2002-12-01,1972.11
2003-01-01,1982.56
2003-02-01,1993.41
2003-03-01,2001.21
2003-04-01,2014.1
2003-05-01,2027.5
2003-06-01,2033.27
2003-07-01,2040.06
2003-08-01,2049.12
2003-09-01,2057.09
2003-10-01,2065.5
2003-11-01,2066.4
2003-12-01,2077.36
2004-01-01,2088.24
2004-02-01,2095.34
2004-03-01,2109.72
2004-04-01,2112.72
2004-05-01,2120.84
2004-06-01,2127.99
2004-07-01,2137.09
2004-08-01,2143.44
2004-09-01,2160.15
2004-10-01,2176.72
2004-11-01,2183.75
2004-12-01,2192.25
2005-01-01,2196.78
2005-02-01,2211.56
2005-03-01,2220.2
2005-04-01,2232.54
2005-05-01,2232.67
2005-06-01,2247.83
2005-07-01,2257.23
2005-08-01,2267.04
2005-09-01,2271.63
2005-10-01,2276.84
2005-11-01,2283.66
2005-12-01,2290.93
2006-01-01,2367.47
2006-02-01,2374.98
2006-03-01,2385.81
2006-04-01,2397.68
2006-05-01,2407.16
2006-06-01,2395.81
2006-07-01,2403.1
2006-08-01,2415.73
2006-09-01,2426.81
2006-10-01,2429.4
2006-11-01,2440.75
2006-12-01,2456.72
2007-01-01,2457.95
2007-02-01,2470.05
2007-03-01,2484.43
2007-04-01,2493.73
2007-05-01,2510.02
2007-06-01,2519.12
2007-07-01,2533.67
2007-08-01,2552.77
2007-09-01,2567.0
2007-10-01,2582.33
2007-11-01,2597.65
2007-12-01,2609.48
2008-01-01,2619.43
2008-02-01,2634.5
2008-03-01,2645.6
2008-04-01,2654.24
2008-05-01,2660.19
2008-06-01,2662.41
2008-07-01,2665.32
2008-08-01,2662.24
2008-09-01,2657.39
2008-10-01,2660.73
2008-11-01,2651.48
2008-12-01,2643.79
2009-01-01,2647.7
2009-02-01,2637.7
2009-03-01,2621.68
2009-04-01,2613.16
2009-05-01,2609.09
2009-06-01,2590.46
2009-07-01,2587.5
2009-08-01,2579.03
2009-09-01,2573.28
2009-10-01,2559.61
2009-11-01,2549.94
2009-12-01,2555.02
2010-01-01,2540.61
2010-02-01,2530.03
2010-03-01,2536.75
2010-04-01,2530.54
2010-05-01,2524.01
2010-06-01,2520.0
2010-07-01,2518.22
2010-08-01,2518.52
2010-09-01,2519.34
2010-10-01,2528.69
2010-11-01,2528.73
2010-12-01,2646.81
2011-01-01,2655.04
2011-02-01,2664.44
2011-03-01,2672.78
2011-04-01,2678.6
2011-05-01,2686.16
2011-06-01,2694.73
2011-07-01,2716.62
2011-08-01,2708.56
2011-09-01,2719.13
2011-10-01,2727.62
2011-11-01,2745.79
2011-12-01,2757.07
2012-01-01,2767.91
2012-02-01,2777.21
2012-03-01,2791.08
2012-04-01,2803.97
2012-05-01,2823.82
2012-06-01,2835.89
2012-07-01,2844.26
2012-08-01,2861.68
2012-09-01,2871.41
2012-10-01,2888.93
2012-11-01,2906.53
2012-12-01,2918.26
2013-01-01,2934.29
2013-02-01,2955.31
2013-03-01,2965.75
2013-04-01,2975.7
2013-05-01,2990.81
2013-06-01,3001.79
2013-07-01,3016.12
2013-08-01,3032.04
2013-09-01,3049.37
2013-10-01,3066.43
2013-11-01,3078.68
2013-12-01,3093.39
2014-01-01,3112.11
2014-02-01,3129.86
2014-03-01,3148.1
2014-04-01,3171.64
2014-05-01,3190.28
2014-06-01,3206.13
2014-07-01,3227.94
2014-08-01,3245.45
2014-09-01,3261.97
2014-10-01,3272.61
2014-11-01,3287.71
2014-12-01,3314.57
2015-01-01,3328.96
2015-02-01,3347.03
2015-03-01,3369.27
2015-04-01,3390.04
2015-05-01,3407.68
2015-06-01,3432.68
2015-07-01,3450.85
2015-08-01,3466.95
2015-09-01,3493.83
2015-10-01,3508.53
2015-11-01,3527.02
2015-12-01,3413.61
2016-01-01,3431.5
2016-02-01,3446.63
2016-03-01,3471.21
2016-04-01,3491.09
2016-05-01,3510.79
2016-06-01,3525.71
2016-07-01,3542.91
2016-08-01,3570.64
2016-09-01,3588.57
2016-10-01,3607.64
2016-11-01,3632.65
2016-12-01,3644.2
2017-01-01,3660.41
2017-02-01,3678.2
2017-03-01,3690.99
2017-04-01,3703.5
2017-05-01,3721.03
2017-06-01,3732.1
2017-07-01,3747.16
2017-08-01,3760.87
2017-09-01,3769.47
2017-10-01,3789.72
2017-11-01,3820.3
2017-12-01,3834.6
2018-01-01,3849.61
2018-02-01,3863.25
2018-03-01,3874.87
2018-04-01,3882.54
