date_,HOUST
2004-02-01,1846.0
2004-03-01,1998.0
2004-04-01,2003.0
2004-05-01,1981.0
2004-06-01,1828.0
2004-07-01,2002.0
2004-08-01,2024.0
2004-09-01,1905.0
2004-10-01,2072.0
2004-11-01,1782.0
2004-12-01,2042.0
2005-01-01,2144.0
2005-02-01,2207.0
2005-03-01,1864.0
2005-04-01,2061.0
2005-05-01,2025.0
2005-06-01,2068.0
2005-07-01,2054.0
2005-08-01,2095.0
2005-09-01,2151.0
2005-10-01,2065.0
2005-11-01,2147.0
2005-12-01,1994.0
2006-01-01,2273.0
2006-02-01,2119.0
2006-03-01,1969.0
2006-04-01,1821.0
2006-05-01,1942.0
2006-06-01,1802.0
2006-07-01,1737.0
2006-08-01,1650.0
2006-09-01,1720.0
2006-10-01,1491.0
2006-11-01,1570.0
2006-12-01,1649.0
2007-01-01,1409.0
2007-02-01,1480.0
2007-03-01,1495.0
2007-04-01,1490.0
2007-05-01,1415.0
2007-06-01,1448.0
2007-07-01,1354.0
2007-08-01,1330.0
2007-09-01,1183.0
2007-10-01,1264.0
2007-11-01,1197.0
2007-12-01,1037.0
2008-01-01,1084.0
2008-02-01,1103.0
2008-03-01,1005.0
2008-04-01,1013.0
2008-05-01,973.0
2008-06-01,1046.0
2008-07-01,923.0
2008-08-01,844.0
2008-09-01,820.0
2008-10-01,777.0
2008-11-01,652.0
2008-12-01,560.0
2009-01-01,490.0
2009-02-01,582.0
2009-03-01,505.0
2009-04-01,478.0
2009-05-01,540.0
2009-06-01,585.0
2009-07-01,594.0
2009-08-01,586.0
2009-09-01,585.0
2009-10-01,534.0
2009-11-01,588.0
2009-12-01,581.0
2010-01-01,614.0
2010-02-01,604.0
2010-03-01,636.0
2010-04-01,687.0
2010-05-01,583.0
2010-06-01,536.0
2010-07-01,546.0
2010-08-01,599.0
2010-09-01,594.0
2010-10-01,543.0
2010-11-01,545.0
2010-12-01,539.0
2011-01-01,630.0
2011-02-01,517.0
2011-03-01,600.0
2011-04-01,554.0
2011-05-01,561.0
2011-06-01,608.0
2011-07-01,623.0
2011-08-01,585.0
2011-09-01,650.0
2011-10-01,610.0
2011-11-01,711.0
2011-12-01,694.0
2012-01-01,723.0
2012-02-01,704.0
2012-03-01,695.0
2012-04-01,753.0
2012-05-01,708.0
2012-06-01,757.0
2012-07-01,740.0
2012-08-01,754.0
2012-09-01,847.0
2012-10-01,915.0
2012-11-01,833.0
2012-12-01,976.0
2013-01-01,888.0
2013-02-01,962.0
2013-03-01,1010.0
2013-04-01,835.0
2013-05-01,930.0
2013-06-01,839.0
2013-07-01,880.0
2013-08-01,917.0
2013-09-01,850.0
2013-10-01,925.0
2013-11-01,1100.0
2013-12-01,1002.0
2014-01-01,890.0
2014-02-01,941.0
2014-03-01,970.0
2014-04-01,1049.0
2014-05-01,1008.0
2014-06-01,903.0
2014-07-01,1082.0
2014-08-01,983.0
2014-09-01,1020.0
2014-10-01,1077.0
2014-11-01,1001.0
2014-12-01,1068.0
2015-01-01,1094.0
2015-02-01,888.0
2015-03-01,963.0
2015-04-01,1203.0
2015-05-01,1079.0
2015-06-01,1185.0
2015-07-01,1133.0
2015-08-01,1134.0
2015-09-01,1212.0
2015-10-01,1064.0
2015-11-01,1171.0
2015-12-01,1155.0
2016-01-01,1114.0
2016-02-01,1202.0
2016-03-01,1115.0
2016-04-01,1173.0
2016-05-01,1133.0
2016-06-01,1183.0
2016-07-01,1225.0
2016-08-01,1161.0
2016-09-01,1064.0
2016-10-01,1327.0
2016-11-01,1151.0
2016-12-01,1280.0
2017-01-01,1225.0
2017-02-01,1289.0
2017-03-01,1179.0
2017-04-01,1165.0
2017-05-01,1122.0
2017-06-01,1225.0
2017-07-01,1185.0
2017-08-01,1172.0
2017-09-01,1158.0
2017-10-01,1265.0
2017-11-01,1303.0
2017-12-01,1210.0
2018-01-01,1334.0
2018-02-01,1290.0
2018-03-01,1336.0
2018-04-01,1287.0
