"Holdings and weightings as of 5:38 PM ET 03/22/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ROP","Roper Technologies, Inc","1.27%","278.04","-2.82","-1.00%","220.27 K","203.50 - 292.97",
"CMI","Cummins Inc","1.07%","156.81","-0.74","-0.47%","797.62 K","143.83 - 194.18",
"SWK","Stanley Black & Decker","1.04%","153.23","-1.23","-0.80%","503.56 K","128.08 - 176.62",
"PH","Parker-Hannifin Corp","1.03%","171.73","-4.14","-2.35%","797.11 K","151.17 - 212.80",
"FTV","Fortive Corp","1.03%","77.02","+0.33","+0.43%","962.08 K","58.15 - 80.31",
"PCAR","PACCAR Inc","0.99%","63.82","-0.50","-0.78%","1.23 M","61.93 - 79.69",
"ROK","Rockwell Automation Inc","0.98%","172.49","-3.47","-1.97%","636.70 K","148.31 - 210.72",
"COL","Rockwell Collins","0.97%","135.10","+0.13","+0.10%","478.49 K","95.62 - 139.63",
"AAL","American Airlines Group Inc.","0.96%","51.64","-0.67","-1.28%","1.77 M","40.48 - 59.08",
"IR","Ingersoll-Rand Plc","0.94%","84.71","-1.37","-1.59%","819.48 K","77.26 - 97.67",
"HRS","Harris Corp","0.80%","159.10","+4.53","+2.93%","494.54 K","106.18 - 161.04",
"AME","AMETEK Inc","0.77%","75.65","-0.53","-0.70%","307.19 K","52.42 - 79.32",
"INFO","IHS Markit Ltd","0.76%","47.33","-0.44","-0.92%","1.22 M","39.40 - 49.49",
"UAL","United Continental Holding Inc","0.73%","68.11","-0.35","-0.50%","1.63 M","56.51 - 83.04",
"VRSK","Verisk Analytics Inc","0.71%","103.12","-0.87","-0.84%","317.62 K","75.60 - 106.07",
"FAST","Fastenal Co","0.70%","54.41","-0.87","-1.57%","921.57 K","39.79 - 58.74",
"LLL","L3 Technologies, Inc","0.69%","204.88","+4.53","+2.26%","295.26 K","159.43 - 218.71",
"DOV","Dover Corp","0.67%","99.20","+0.22","+0.22%","2.13 M","76.23 - 109.06",
"URI","United Rentals Inc","0.67%","178.34","-1.92","-1.07%","575.70 K","100.62 - 190.74",
"RSG","Republic Services Inc","0.66%","66.50","-0.10","-0.15%","1.12 M","60.26 - 69.40",
"TXT","Textron Inc","0.66%","57.61","+0.06","+0.10%","679.24 K","45.00 - 62.19",
"TDG","TransDigm Group","0.64%","305.05","+2.32","+0.77%","299.16 K","203.72 - 321.38",
"GWW","Grainger W.W. Inc","0.63%","273.54","-6.63","-2.37%","506.71 K","155.00 - 298.15",
"CTAS","Cintas Corp","0.62%","171.32","+8.21","+5.03%","936.85 K","119.54 - 178.34",
"EFX","Equifax Inc","0.62%","117.13","-0.50","-0.43%","423.64 K","89.59 - 147.02",
"XYL","Xylem Inc","0.61%","76.49","-0.89","-1.15%","526.02 K","48.13 - 79.83",
"CHRW","CH Robinson Worldwide Inc","0.57%","91.83","-0.83","-0.90%","798.67 K","63.41 - 100.18",
"MAS","Masco Corp","0.56%","40.47","-0.56","-1.36%","1.69 M","32.97 - 46.45",
"PNR","Pentair PLC","0.51%","68.12","-1.49","-2.14%","528.01 K","59.13 - 74.84",
"HII","Huntington Ingalls Industries Inc.","0.50%","256.11","+6.96","+2.79%","321.33 K","183.42 - 276.69",
"KSU","Kansas City Southern Inc","0.49%","109.92","+1.61","+1.49%","884.50 K","81.81 - 114.85",
"EXPD","Expeditors Intl of WA Inc","0.48%","61.58","-0.89","-1.42%","720.00 K","51.96 - 67.63",
"NLSN","Nielsen Holdings plc","0.47%","31.81","-0.02","-0.05%","1.98 M","31.81 - 43.61",
"JBHT","Hunt J.B. Transport Services","0.45%","117.94","-0.88","-0.74%","455.25 K","83.35 - 126.49",
"ARNC","Arconic Inc","0.42%","23.00","+0.32","+1.39%","2.33 M","21.76 - 31.17",
"AOS","Smith A.O. Corp","0.41%","63.15","-1.33","-2.06%","728.99 K","49.48 - 68.39",
"FBHS","Fortune Brands Home & Security Inc","0.40%","58.60","-1.09","-1.83%","1.02 M","59.11 - 73.62",
"SNA","Snap On Inc","0.37%","147.88","-0.53","-0.36%","254.17 K","140.83 - 185.47",
"ALLE","Allegion plc","0.35%","83.68","-0.92","-1.09%","406.28 K","73.93 - 89.81",
"FLR","Fluor Corp","0.34%","55.75","-0.15","-0.27%","473.80 K","37.04 - 62.09",
"ALK","Alaska Air Group Inc","0.34%","62.42","-0.40","-0.64%","890.90 K","59.25 - 97.06",
"RHI","Robert Half Intl Inc","0.32%","56.49","-1.57","-2.70%","783.54 K","42.92 - 60.59",
"JEC","Jacobs Engineering Group Inc","0.30%","56.24","-1.42","-2.46%","782.61 K","49.31 - 72.18",
"FLS","Flowserve Corp","0.25%","42.47","-0.80","-1.85%","358.10 K","37.51 - 51.92",
"AYI","Acuity Brands Inc","0.25%","132.90","-1.77","-1.31%","601.44 K","133.09 - 209.18",
"PWR","Quanta Services Inc","0.23%","33.53","-0.86","-2.50%","695.67 K","30.23 - 40.11",
"SRCL","Stericycle Inc","0.22%","59.15","-0.26","-0.44%","432.88 K","58.53 - 88.00",
